DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	Price	Currency	UpdateTime
2022-11-01 15:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	255.69	EUR	2022-10-31 11:03:54.054
2022-11-01 19:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	164.05	EUR	2022-10-31 11:03:54.054
2022-11-01 00:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	101.35	EUR	2022-10-31 11:08:52.052
2022-11-01 01:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	85.07	EUR	2022-10-31 11:08:52.052
2022-11-01 02:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	69.76	EUR	2022-10-31 11:08:52.052
2022-11-01 03:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	55.09	EUR	2022-10-31 11:08:52.052
2022-11-01 04:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	20.06	EUR	2022-10-31 11:08:52.052
2022-11-01 05:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	84.93	EUR	2022-10-31 11:08:52.052
2022-11-01 06:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	137.36	EUR	2022-10-31 11:08:52.052
2022-11-01 07:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	77.07	EUR	2022-10-31 11:08:52.052
2022-11-01 08:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	82.54	EUR	2022-10-31 11:08:52.052
2022-11-01 09:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	47.99	EUR	2022-10-31 11:08:52.052
2022-11-01 10:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	43.09	EUR	2022-10-31 11:08:52.052
2022-11-01 11:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	33.92	EUR	2022-10-31 11:08:52.052
2022-11-01 12:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	21.53	EUR	2022-10-31 11:08:52.052
2022-11-01 13:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	-1.37	EUR	2022-10-31 11:08:52.052
2022-11-01 14:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	6.65	EUR	2022-10-31 11:08:52.052
2022-11-01 15:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	43.31	EUR	2022-10-31 11:08:52.052
2022-11-01 16:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	80.10	EUR	2022-10-31 11:08:52.052
2022-11-01 17:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	134.42	EUR	2022-10-31 11:08:52.052
2022-11-01 18:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	131.36	EUR	2022-10-31 11:08:52.052
2022-11-01 19:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	158.35	EUR	2022-10-31 11:08:52.052
2022-11-01 20:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	150.15	EUR	2022-10-31 11:08:52.052
2022-11-01 21:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	148.19	EUR	2022-10-31 11:08:52.052
2022-11-01 22:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	122.35	EUR	2022-10-31 11:08:52.052
2022-11-01 00:00:00.000	PT60M	50Y0JVU59B4JWQCU	BZN	NO2NSL	NO2NSL	82.73	EUR	2022-10-31 11:36:40.040
2022-11-01 04:00:00.000	PT60M	50Y0JVU59B4JWQCU	BZN	NO2NSL	NO2NSL	60.67	EUR	2022-10-31 11:36:40.040
2022-11-01 08:00:00.000	PT60M	50Y0JVU59B4JWQCU	BZN	NO2NSL	NO2NSL	100.00	EUR	2022-10-31 11:36:40.040
2022-11-01 12:00:00.000	PT60M	50Y0JVU59B4JWQCU	BZN	NO2NSL	NO2NSL	72.51	EUR	2022-10-31 11:36:40.040
2022-11-01 16:00:00.000	PT60M	50Y0JVU59B4JWQCU	BZN	NO2NSL	NO2NSL	122.97	EUR	2022-10-31 11:36:40.040
2022-11-01 20:00:00.000	PT60M	50Y0JVU59B4JWQCU	BZN	NO2NSL	NO2NSL	109.95	EUR	2022-10-31 11:36:40.040
2022-11-01 00:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	81.15	EUR	2022-10-31 11:43:14.014
2022-11-01 01:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	65.05	EUR	2022-10-31 11:43:14.014
2022-11-01 02:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	110.00	EUR	2022-10-31 11:43:14.014
2022-11-01 03:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	35.24	EUR	2022-10-31 11:43:14.014
2022-11-01 04:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	82.52	EUR	2022-10-31 11:43:14.014
2022-11-01 05:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	48.56	EUR	2022-10-31 11:43:14.014
2022-11-01 06:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	94.18	EUR	2022-10-31 11:43:14.014
2022-11-01 07:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	57.26	EUR	2022-10-31 11:43:14.014
2022-11-01 08:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	127.46	EUR	2022-10-31 11:43:14.014
2022-11-01 09:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	37.08	EUR	2022-10-31 11:43:14.014
2022-11-01 10:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	110.00	EUR	2022-10-31 11:43:14.014
